Filter Button,Suggested Image,Filename,Description,Match Type
"All","all-products.png","all-products.png","All Products;","Exact Match"
"All (Alt 1)","all-stock-collections-all-stock-collections-architessa.png","all-stock-collections-all-stock-collections-architessa.png","All Stock Collections;All Stock Collections - Architessa","Alternative"
"All (Alt 2)","all-interior-floor-all-interior-floor-architessa.png","all-interior-floor-all-interior-floor-architessa.png","All Interior Floor;All Interior Floor - Architessa","Alternative"
"All (Alt 3)","all-shapes.jpg","all-shapes.jpg","All Shapes;","Alternative"
"Kitchen","backsplash-backsplash-architessa.png","backsplash-backsplash-architessa.png","Backsplash;Backsplash - Architessa","Exact Match"
"Kitchen (Alt 1)","kitchen.jpg","kitchen.jpg","Kitchen;","Alternative"
"Kitchen (Alt 2)","kitchen-floor-kitchen-floor-architessa.png","kitchen-floor-kitchen-floor-architessa.png","Kitchen Floor;Kitchen Floor - Architessa","Alternative"
"Kitchen (Alt 3)","multifamily-unit-backsplash-multifamily-unit-backsplash-architessa.jpg","multifamily-unit-backsplash-multifamily-unit-backsplash-architessa.jpg","Multifamily Unit Backsplash;Multifamily Unit Backsplash - Architessa","Alternative"
"Bathroom","shower-wall-shower-wall-architessa.png","shower-wall-shower-wall-architessa.png","Shower Wall;Shower Wall - Architessa","Exact Match"
"Bathroom (Alt 1)","bathroom-floor-bathroom-floor-architessa.png","bathroom-floor-bathroom-floor-architessa.png","Bathroom Floor;Bathroom Floor - Architessa","Alternative"
"Bathroom (Alt 2)","shower-floor-shower-floor-architessa.png","shower-floor-shower-floor-architessa.png","Shower Floor;Shower Floor - Architessa","Alternative"
"Bathroom (Alt 3)","shower-wall-shower-wall-architessa.png","shower-wall-shower-wall-architessa.png","Shower Wall;Shower Wall - Architessa","Alternative"
"Fireplace","fireplace-surround-fireplace-surround-architessa.png","fireplace-surround-fireplace-surround-architessa.png","Fireplace Surround;Fireplace Surround - Architessa","Exact Match"
"Fireplace (Alt 1)","feature-wall-feature-wall-architessa.png","feature-wall-feature-wall-architessa.png","Feature Wall;Feature Wall - Architessa","Alternative"
"Fireplace (Alt 2)","fireplace-surround-fireplace-surround-architessa.png","fireplace-surround-fireplace-surround-architessa.png","Fireplace Surround;Fireplace Surround - Architessa","Alternative"
"Fireplace (Alt 3)","feature-wall-feature-wall-architessa.png","feature-wall-feature-wall-architessa.png","Feature Wall;Feature Wall - Architessa","Alternative"
"Backsplash","subway-tile-subway-tile-architessa.jpg","subway-tile-subway-tile-architessa.jpg","Subway Tile;Subway Tile - Architessa","Exact Match"
"Backsplash (Alt 1)","backsplash-backsplash-architessa.png","backsplash-backsplash-architessa.png","Backsplash;Backsplash - Architessa","Alternative"
"Backsplash (Alt 2)","herringbone-herringbone-tile.png","herringbone-herringbone-tile.png","Herringbone;Herringbone Tile","Alternative"
"Backsplash (Alt 3)","multifamily-unit-backsplash-multifamily-unit-backsplash-architessa.jpg","multifamily-unit-backsplash-multifamily-unit-backsplash-architessa.jpg","Multifamily Unit Backsplash;Multifamily Unit Backsplash - Architessa","Alternative"
"Laundry Room","wall-tile-wall-tile-architessa.png","wall-tile-wall-tile-architessa.png","Wall Tile;Wall Tile - Architessa","Exact Match"
"Laundry Room (Alt 1)","all-interior-floor-all-interior-floor-architessa.png","all-interior-floor-all-interior-floor-architessa.png","All Interior Floor;All Interior Floor - Architessa","Alternative"
"Laundry Room (Alt 2)","12x24-clermont-ondule-blue-glossy-rectified-wall-tile-204685e.png","12x24-clermont-ondule-blue-glossy-rectified-wall-tile-204685e.png","12x24 Clermont Ondule Blue Glossy Rectified Wall Tile - 204685E;","Alternative"
"Laundry Room (Alt 3)","12x24-clermont-ondul-vert-glossy-rectified-wall-tile-204686e.png","12x24-clermont-ondul-vert-glossy-rectified-wall-tile-204686e.png","12x24 Clermont Ondul Vert Glossy Rectified Wall Tile - 204686E;","Alternative"
"Farmhouse","traditional-traditional-architessa.jpg","traditional-traditional-architessa.jpg","Traditional;Traditional - Architessa","Exact Match"
"Farmhouse (Alt 1)","farmhouse-farmhouse-architessa.jpg","farmhouse-farmhouse-architessa.jpg","Farmhouse;Farmhouse - Architessa","Alternative"
"Farmhouse (Alt 2)","craftsman-craftsman-architessa.webp","craftsman-craftsman-architessa.webp","Craftsman;Craftsman - Architessa","Alternative"
"Farmhouse (Alt 3)","rustic-rustic-architessa.jpg","rustic-rustic-architessa.jpg","Rustic;Rustic - Architessa","Alternative"
"Coastal","coastal-coastal-architessa.jpg","coastal-coastal-architessa.jpg","Coastal;Coastal - Architessa","Exact Match"
"Coastal (Alt 1)","mediterranean-mediterranean-architessa.jpg","mediterranean-mediterranean-architessa.jpg","Mediterranean;Mediterranean - Architessa","Alternative"
"Coastal (Alt 2)","coastal-coastal-architessa.jpg","coastal-coastal-architessa.jpg","Coastal;Coastal - Architessa","Alternative"
"Coastal (Alt 3)","mediterranean-mediterranean-architessa.jpg","mediterranean-mediterranean-architessa.jpg","Mediterranean;Mediterranean - Architessa","Alternative"
"Minimalist & Modern","contemporary-contemporary-architessa.jpg","contemporary-contemporary-architessa.jpg","Contemporary;Contemporary - Architessa","Exact Match"
"Minimalist & Modern (Alt 1)","mid-century-modern-mid-century-modern-architessa.png","mid-century-modern-mid-century-modern-architessa.png","Mid-Century Modern;Mid-Century Modern - Architessa","Alternative"
"Minimalist & Modern (Alt 2)","minimalist-minimalist-architessa.webp","minimalist-minimalist-architessa.webp","Minimalist;Minimalist - Architessa","Alternative"
"Minimalist & Modern (Alt 3)","modern-modern-architessa.jpg","modern-modern-architessa.jpg","Modern;Modern - Architessa","Alternative"
"Mid-Century Modern","mid-century-modern-mid-century-modern-architessa.png","mid-century-modern-mid-century-modern-architessa.png","Mid-Century Modern;Mid-Century Modern - Architessa","Exact Match"
"Mid-Century Modern (Alt 1)","retro-vintage-retro-vintage-architessa.jpg","retro-vintage-retro-vintage-architessa.jpg","Retro & Vintage;Retro & Vintage - Architessa","Alternative"
"Mid-Century Modern (Alt 2)","retro.jpg","retro.jpg","Retro;","Alternative"
"Mid-Century Modern (Alt 3)","vintage.jpg","vintage.jpg","Vintage;","Alternative"
"Bohemian","global-fusion-global-fusion-architessa.jpg","global-fusion-global-fusion-architessa.jpg","Global Fusion;Global Fusion - Architessa","Exact Match"
"Bohemian (Alt 1)","bohemian-bohemian-architessa.jpg","bohemian-bohemian-architessa.jpg","Bohemian;Bohemian - Architessa","Alternative"
"Bohemian (Alt 2)","maximalist-maximalist-architessa.png","maximalist-maximalist-architessa.png","Maximalist;Maximalist - Architessa","Alternative"
"Bohemian (Alt 3)","global-fusion-global-fusion-architessa.jpg","global-fusion-global-fusion-architessa.jpg","Global Fusion;Global Fusion - Architessa","Alternative"